algorithm,threads,n,alphabet,time,cache-misses
pqs,2,10000,1048576,0.001417,5588
pqs,3,10000,1048576,0.001545,8943
pqs,4,10000,1048576,0.001658,10427
pqs,5,10000,1048576,0.001875,8873
pqs,6,10000,1048576,0.001772,13645
pqs,7,10000,1048576,0.002452,12733
pqs,8,10000,1048576,0.002332,17662
pqs,9,10000,1048576,0.003355,12711
pqs,10,10000,1048576,0.002323,19109
pqs,11,10000,1048576,0.002795,21961
pqs,12,10000,1048576,0.002866,24198
pqs,1,10000,1048576,0.002391,4458
pqs,2,10000,1048576,0.001417,4862
pqs,3,10000,1048576,0.001557,8776
pqs,4,10000,1048576,0.001518,9108
pqs,5,10000,1048576,0.001738,10372
pqs,6,10000,1048576,0.002222,12828
pqs,7,10000,1048576,0.002481,11191
pqs,8,10000,1048576,0.003104,13496
pqs,9,10000,1048576,0.002256,16204
pqs,10,10000,1048576,0.003257,16538
pqs,11,10000,1048576,0.002641,21368
pqs,12,10000,1048576,0.002476,23535
pqs,1,10000,1048576,0.002453,3380
pqs,2,10000,1048576,0.001413,3819
pqs,3,10000,1048576,0.001568,7399
pqs,4,10000,1048576,0.001350,10526
pqs,5,10000,1048576,0.001660,12098
pqs,6,10000,1048576,0.001935,11955
pqs,7,10000,1048576,0.001635,13394
pqs,8,10000,1048576,0.003156,17636
pqs,9,10000,1048576,0.002302,17687
pqs,10,10000,1048576,0.002349,18114
pqs,11,10000,1048576,0.003051,20353
pqs,12,10000,1048576,0.010555,26606
pms,1,10000,1048576,0.002727,5124
pms,2,10000,1048576,0.001618,7907
pms,3,10000,1048576,0.001505,9854
pms,4,10000,1048576,0.001588,10949
pms,5,10000,1048576,0.002053,11223
pms,6,10000,1048576,0.001353,14064
pms,7,10000,1048576,0.002232,12972
pms,8,10000,1048576,0.001928,18942
pms,9,10000,1048576,0.002065,17898
pms,10,10000,1048576,0.002729,20027
pms,11,10000,1048576,0.002389,18968
pms,12,10000,1048576,0.002880,21199
pms,1,10000,1048576,0.002699,5001
pms,2,10000,1048576,0.001550,5441
pms,3,10000,1048576,0.001545,10587
pms,4,10000,1048576,0.001540,13154
pms,5,10000,1048576,0.001971,14050
pms,6,10000,1048576,0.001840,15250
pms,7,10000,1048576,0.002375,15698
pms,8,10000,1048576,0.001701,15589
pms,9,10000,1048576,0.002399,22978
pms,10,10000,1048576,0.003742,21951
pms,11,10000,1048576,0.002608,20236
pms,12,10000,1048576,0.002875,21970
pms,1,10000,1048576,0.002635,4425
pms,2,10000,1048576,0.001554,5501
pms,3,10000,1048576,0.001687,10700
pms,4,10000,1048576,0.001544,11763
pms,5,10000,1048576,0.001809,12066
pms,6,10000,1048576,0.002124,13276
pms,7,10000,1048576,0.001827,18180
pms,8,10000,1048576,0.001730,15735
pms,9,10000,1048576,0.002241,19995
pms,10,10000,1048576,0.002570,22919
pms,11,10000,1048576,0.003361,20393
pms,12,10000,1048576,0.003057,23501
pcs,1,10000,1048576,1.367487,1493258
pcs,2,10000,1048576,3.261267,21861677
pcs,3,10000,1048576,3.938306,27198529
pcs,4,10000,1048576,5.407023,53596280
pcs,5,10000,1048576,6.321254,58382607
pcs,6,10000,1048576,7.080291,59244218
pcs,7,10000,1048576,7.684390,68627858
pcs,8,10000,1048576,8.687452,75927733
pcs,9,10000,1048576,10.969246,114186863
pcs,10,10000,1048576,10.796630,112217898
pcs,11,10000,1048576,13.523578,165707802
pcs,12,10000,1048576,14.754737,177791590
pcs,1,10000,1048576,1.468408,1529255
pcs,2,10000,1048576,3.337546,22499232
pcs,3,10000,1048576,3.922148,26618875
pcs,4,10000,1048576,5.636632,50967721
pcs,5,10000,1048576,6.518102,67334800
pcs,6,10000,1048576,7.424153,69664567
pcs,7,10000,1048576,8.791962,104692169
pcs,8,10000,1048576,10.031678,113468407
pcs,9,10000,1048576,10.163337,97586308
pcs,10,10000,1048576,10.755121,102188289
pcs,11,10000,1048576,12.449445,137493021
pcs,12,10000,1048576,13.911569,171045423
pcs,1,10000,1048576,1.381857,1529366
pcs,2,10000,1048576,3.360497,22985675
pcs,3,10000,1048576,3.959968,30022934
pcs,4,10000,1048576,5.156814,45655352
pcs,5,10000,1048576,6.277745,62812072
pcs,6,10000,1048576,7.496785,70945182
pcs,7,10000,1048576,8.387069,84115037
pcs,8,10000,1048576,9.828245,113762784
pcs,9,10000,1048576,11.325990,129612037
pcs,10,10000,1048576,11.589718,129302665
pcs,11,10000,1048576,13.874053,161366262
pcs,12,10000,1048576,14.021713,172751071
prs,1,10000,1048576,0.008767,14746
prs,2,10000,1048576,0.004874,10710
prs,3,10000,1048576,0.003491,18720
prs,4,10000,1048576,0.003103,21312
prs,5,10000,1048576,0.003300,16215
prs,6,10000,1048576,0.003297,18292
prs,7,10000,1048576,0.003486,26734
prs,8,10000,1048576,0.002982,25097
prs,9,10000,1048576,0.003500,23705
prs,10,10000,1048576,0.003140,21470
prs,11,10000,1048576,0.004381,24829
prs,12,10000,1048576,0.009281,27468
prs,1,10000,1048576,0.008828,7755
prs,2,10000,1048576,0.004821,8718
prs,3,10000,1048576,0.003714,14004
prs,4,10000,1048576,0.003332,14541
prs,5,10000,1048576,0.003281,23596
prs,6,10000,1048576,0.003593,16867
prs,7,10000,1048576,0.002971,23451
prs,8,10000,1048576,0.002922,22785
